目,总科,科,属,种,宿主,采集地,编号,标本来源,测序是否成功,"是否
注释",是否发表文章,排列方式,长度
,,,,Falcaustra sinensis,苏卡达象龟,广西南宁,Fs,丰亚宇,√,√,,GA6,14076
,,,Megalobatrachonema,Megalobatrachonema hainanensis,海南湍蛙（肠）,海南省吊罗山,Mh,谷晓红,√,√,,,
,,,,Megalobatrachonema wanji,小棘蛙,云南省勐腊县曼迈村,Mw,丰亚宇,√,√,,GA6,14651
,,,,Megalobatrachonema sp.,棘腹蛙（肠道）,四川省都江堰市虹口镇990m,SCZ,谷晓红,√,√,,,
,Heterakoidea,Ascaridiidae,Ascaridia,Ascaridia galli,欧洲梭鲈 Stizostedion lucioperca 肠道,乌兹别克斯坦,Sti,泥雪峰,√,√,,,
,,Heterakidae,Meteterakis,Meteterakis japonica,Plestiodon japonicas 直肠,"Tokushima City, Tokushima Pref.",Me5,泥雪峰,√,√,,,
,,,,Meteterakis microspicula sp. n.,黑眶蟾蜍 Duttaphrynus melanostictus (肠胃),海南省万宁市兴隆竹林村,MeHN,泥雪峰,√,√,,,
,,,,Meteterakis occidentalis,Plestiodon japonicas 小肠,"Kyoto City, kyoto Pref",Me4,泥雪峰,√,√,,,
,,,,Meteterakis sichuanensis n. sp.,棘腹蛙（肠道）,四川圣水庙,MeSC,泥雪峰,√,√,,,
,,,,Meteterakis zhangi sp. n. ,中华大蟾蜍（肠道）,河北省石家庄市,MeHN,泥雪峰,√,√,,,
,,,Strongyluris,Strongyluris calotis,丽纹龙蜥,广西,STR_CHX_1,陈慧霞,,,,,
,Seuratoidea,Cucullanidae,Cucullanus,Cucullanus extraneus sp. nov.,斑纹刺盖鱼,波斯湾，伊拉克,Cex,郭宁,√,√,,,
,,,,Cucullanus pakistani,横口裂腹鱼 Schizothorax plagiostomus ,巴基斯坦旁遮普斯瓦特河,Paki,郭宁,√,√,,,
,,,,Cucullanus sp.,Turtle,Pakistan,Cul,陈慧霞,×,×,,,
,,,Dichelyne,Dichelyne breviculus,勒氏短须石首鱼 Dendrophysa russelli ,中国南海（广东省惠州市大亚湾）,Dich,郭宁,√,√,,,
,,,,Dichelyne pleuronectidis,高眼鲽,山东青岛,Ch_2,丰亚宇,√,√,,GA6,13759
,,Quimperiidae,Chabaudus,Chabaudus sp.,Fejerfarya cancrivora,"印度尼西亚Rica filed, Selomerto,Wonosobo, Central Java",YN-1,泥雪峰/谷晓红,×,×,,,
,,,,Chabaudus sp.,Fejerfarya cancrivora,"印度尼西亚Citereup, West Java",YN-2,泥雪峰,,,,,
,Subuluroidea,Subuluridae,Subulura,Subulura bolivari,纵纹腹小鸮,巴基斯坦,Subu,郭宁,√,√,,,
,,,,Subulura chinensis,小猫头鹰,河北沧州,ZW-1415,丰亚宇,√,√,,GA3,13887
,,,,Subulura sp.,鸡,"巴基斯坦, District Kot Addu, Punjab",SUB_CHX_1,陈慧霞,√,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
